21,33,62,-4.769044
21,62,98,-12.281631
21,98,33,16.991043
45,78,113,-7.5424232
57,14,44,-3.6457405
57,14,61,-5.548847
57,14,112,-14.202454
57,14,121,-16.09653
57,44,61,-3.0995255
57,44,112,-12.469103
57,44,121,-14.520063
57,61,112,-10.138828
57,61,121,-11.81612
57,112,121,-1.7988319
69,12,26,-1.5332565
69,12,67,-4.4887886
69,12,68,-4.5380745
69,12,121,-11.25198
69,12,109,-11.025738
69,26,67,-4.4198074
69,26,68,-4.344887
69,26,121,-11.038715
69,26,109,-10.746708
69,67,68,-0.4711132
69,67,121,-8.864048
69,67,109,-7.8356686
69,68,121,-8.757805
69,68,109,-7.63834
69,121,109,1.9049034
